;id;amount_ethereum;amount_dollars;transaction_date
3940;3378;0.39Ξ;($52);Dec 30, 2019
3941;3378;0.27Ξ;($38);Dec 30, 2018
3942;3379;22.99Ξ;($59,059);Apr 22, 2021
3943;3379;20Ξ;($42,492);Apr 18, 2021
3944;3379;9.40Ξ;($16,932);Feb 16, 2021
3945;3379;9.20Ξ;($15,728);Feb 15, 2021
3946;3380;16.49Ξ;($31,845);Mar 31, 2021
3947;3380;5Ξ;($9,125);Feb 14, 2021
3948;3380;5Ξ;($6,562);Jan 27, 2021
3949;3380;5.35Ξ;($3,678);Dec 28, 2020
3950;3380;3Ξ;($1,906);Dec 26, 2020
3951;3380;0.10Ξ;($136);Jan 14, 2018
3952;3381;0.33Ξ;($44);Feb 24, 2019
3953;3382;6Ξ;($2,187);Oct 09, 2020
3954;3382;0.10Ξ;($60);Jun 08, 2018
3955;3383;27.50Ξ;($54,255);Feb 21, 2021
3956;3383;9.50Ξ;($3,267);Sep 25, 2020
3957;3383;8Ξ;($2,935);Sep 15, 2020
3958;3383;6Ξ;($1,314);Jun 28, 2020
3959;3384;25Ξ;($52,285);Apr 09, 2021
3960;3384;19.49Ξ;($32,903);Mar 28, 2021
3961;3384;1Ξ;($161);Jan 16, 2020
3962;3384;0.40Ξ;($118);Jun 21, 2019
3963;3385;24Ξ;($51,611);Apr 11, 2021
3964;3385;0.13Ξ;($106);Dec 19, 2017
3965;3387;0.60Ξ;($80);Jan 03, 2020
3966;3387;0.40Ξ;($118);Jun 21, 2019
3967;3388;0.20Ξ;($41);Oct 23, 2018
3968;3389;20Ξ;($36,029);Mar 11, 2021
3969;3389;0.35Ξ;($50);Mar 30, 2019
3970;3390;17.50Ξ;($69,558);May 11, 2021
3971;3392;34Ξ;($65,803);Jul 13, 2021
3972;3392;50.02Ξ;($91,762);Feb 15, 2021
3973;3392;2.50Ξ;($617);Jun 02, 2020
3974;3392;1.65Ξ;($334);May 27, 2020
3975;3392;1Ξ;($200);May 15, 2020
3976;3392;0.40Ξ;($118);Jun 21, 2019
3977;3393;500Ξ;($954,650);Mar 13, 2021
3978;3394;1.30Ξ;($270);May 22, 2020
3979;3395;38Ξ;($92,122);Apr 15, 2021
3980;3395;40Ξ;($71,956);Mar 21, 2021
3981;3395;0.40Ξ;($49);Jan 16, 2019
3982;3397;0.99Ξ;($241);May 22, 2019
3983;3397;0.25Ξ;($22);Dec 13, 2018
3984;3399;3Ξ;($1,091);Sep 15, 2020
