,id,total_sold,avg_sold_price,max_sold_price,types,rarity,skin,traits,total_traits,marcador
8958,8958,1.0,0.6,0.6,Male,83,Albino,"Beanie,Horned Rim Glasses,Shadow Beard",3,1
8961,8961,1.0,25.99,25.99,Female,5655,Albino,"Blue Eye Shadow,Mohawk Dark",2,1
8967,8967,1.0,0.5,0.5,Male,4819,Albino,"Big Shades,Hoodie,Vape",3,1
8970,8970,13.0,4.490769230769231,14.9,Male,7702,Dark,"Mohawk Dark,Muttonchops",2,1
8971,8971,2.0,11.399999999999999,22.4,Male,6447,Dark,"Classic Shades,Earring,Luxurious Beard,Mohawk Thin",4,1
8972,8972,1.0,42.0,42.0,Female,593,Mid,"Black Lipstick,Eye Mask,Pigtails",3,1
8974,8974,1.0,0.45,0.45,Male,4945,Dark,"Cigarette,Clown Eyes Green,Hoodie",3,1
8976,8976,1.0,0.45,0.45,Female,3057,Mid,"Classic Shades,Dark Hair",2,1
8978,8978,2.0,12.75,25.0,Male,3154,Light,"Chinstrap,Horned Rim Glasses,Purple Hair",3,1
8981,8981,2.0,2.5,4.0,Male,1455,Light,"Cowboy Hat,Shadow Beard",2,1
8987,8987,1.0,6.0,6.0,Male,4427,Light,"Chinstrap,Nerd Glasses",2,1
8988,8988,5.0,22.688,27.0,Male,5997,Light,"Cap,Earring,Front Beard",3,1
8989,8989,1.0,33.0,33.0,Female,1116,Mid,"Blonde Short,Blue Eye Shadow,Earring",3,1
8990,8990,3.0,11.966666666666667,33.0,Male,7611,Mid,"Peak Spike,Pipe,VR",3,1
8991,8991,2.0,1.475,1.65,Male,4751,Dark,"Cap Forward,Regular Shades",2,1
8993,8993,1.0,22.5,22.5,Male,6383,Light,"Clown Eyes Blue,Luxurious Beard,Wild Hair",3,1
8994,8994,3.0,1.0933333333333333,2.5,Female,222,Dark,"Cigarette,Clown Eyes Blue,Tiara",3,1
8995,8995,3.0,13.183333333333332,15.0,Male,6568,Light,"Eye Mask,Mustache,Shaved Head",3,1
