,Type,From,To,Amount,Txn,punk_id
13997,Transfer,0x938bd2,0xc02322,,"Apr 19, 2021",1567.0
13998,Transfer,0x577ebc,0x938bd2,,"Feb 06, 2021",1567.0
13999,Transfer,0xcbd482,0x577ebc,,"Jan 30, 2021",1567.0
14000,Claimed,,0xcbd482,,"Jun 23, 2017",1567.0
14001,Transfer,0xba7ccc,0xcffc33,,"May 05, 2021",1568.0
14002,Claimed,,0xba7ccc,,"Jun 23, 2017",1568.0
14003,Transfer,0x938bd2,0x68a7ac,,"Apr 23, 2021",1569.0
14004,Transfer,0x577ebc,0x938bd2,,"Feb 06, 2021",1569.0
14005,Transfer,0xcbd482,0x577ebc,,"Jan 30, 2021",1569.0
14006,Claimed,,0xcbd482,,"Jun 23, 2017",1569.0
14007,Transfer,0x48db19,0x3be89b,,"May 02, 2021",1570.0
14008,Claimed,,0x48db19,,"Jun 23, 2017",1570.0
14009,Transfer,0x938bd2,0xdc9e11,,"Apr 23, 2021",1571.0
14010,Transfer,0x577ebc,0x938bd2,,"Feb 06, 2021",1571.0
14011,Transfer,0xcbd482,0x577ebc,,"Jan 30, 2021",1571.0
14012,Bid Withdrawn,0x9224bb,,"4.80Ξ ($5,963)","Jan 17, 2021",1571.0
14013,Bid,0x9224bb,,"4.80Ξ ($5,768)","Jan 17, 2021",1571.0
14014,Claimed,,0xcbd482,,"Jun 23, 2017",1571.0
14015,Bid Withdrawn,0xa6bb24,,"1Ξ ($1,544)","Feb 02, 2021",1572.0
14016,Bid,0xa6bb24,,"1Ξ ($1,015)","Jan 13, 2021",1572.0
14017,Claimed,,0x51ec89,,"Jun 23, 2017",1572.0
14018,Bid Withdrawn,thebinoc…,,"20.10Ξ ($43,171)","Jul 09, 2021",1573.0
14019,Bid,thebinoc…,,"20.10Ξ ($41,889)","Jul 09, 2021",1573.0
14020,Offered,,,"30Ξ ($65,219)","Jul 08, 2021",1573.0
14021,Claimed,,0xf1ad94,,"Jun 23, 2017",1573.0
14022,Transfer,0x207355,0x4084df,,"May 07, 2021",1574.0
14023,Claimed,,0x207355,,"Jun 23, 2017",1574.0
14024,Offered,,,"64.99Ξ ($123,700)","Jul 19, 2021",1575.0
14025,Transfer,moonphas…,0xf09d1a,,"Dec 16, 2020",1575.0
14026,Sold,dan_,moonphas…,"6Ξ ($2,181)","Sep 28, 2020",1575.0
14027,Offered,,,"6Ξ ($2,070)","Sep 25, 2020",1575.0
14028,Transfer,jomessin,dan_,,"Dec 09, 2019",1575.0
14029,Offer Withdrawn,,,,"Dec 09, 2019",1575.0
14030,Offered,,,0.66Ξ ($97),"Dec 09, 2019",1575.0
14031,Sold,Hemba,jomessin,0.14Ξ ($145),"Jan 19, 2018",1575.0
14032,Offered,,,0.14Ξ ($98),"Dec 23, 2017",1575.0
14033,Offered,,,0.52Ξ ($99),"Jul 11, 2017",1575.0
14034,Offered,,,0.05Ξ ($10),"Jul 11, 2017",1575.0
14035,Claimed,,Hemba,,"Jun 23, 2017",1575.0
14036,Bid Withdrawn,0x5f75fb,,"1Ξ ($2,162)","Jul 09, 2021",1576.0
14037,Bid,0x5f75fb,,"1Ξ ($2,310)","Jul 07, 2021",1576.0
14038,Bid,0x600afd,,0.02Ξ ($42),"Jul 01, 2021",1576.0
14039,Bid,kidlight…,,0Ξ ($21),"Jun 30, 2021",1576.0
14040,Claimed,,0x44fab5,,"Jun 23, 2017",1576.0
14041,Transfer,0x207355,0x4084df,,"May 07, 2021",1577.0
14042,Claimed,,0x207355,,"Jun 23, 2017",1577.0
14043,Bid Withdrawn,mindfool…,,0.20Ξ ($354),"Mar 21, 2021",1578.0
14044,Bid,mindfool…,,0.20Ξ ($370),"Mar 20, 2021",1578.0
14045,Bid Withdrawn,0xc9ab58,,"1.50Ξ ($1,585)","Jan 11, 2021",1578.0
14046,Bid,0xc9ab58,,"1.50Ξ ($1,427)","Jan 11, 2021",1578.0
14047,Bid Withdrawn,0xa0a59c,,0.30Ξ ($139),"Nov 25, 2017",1578.0
14048,Bid,0xa0a59c,,0.30Ξ ($83),"Jul 03, 2017",1578.0
14049,Bid Withdrawn,0x717403,,0.05Ξ ($15),"Jun 29, 2017",1578.0
14050,Bid,0x717403,,0.05Ξ ($14),"Jun 25, 2017",1578.0
14051,Claimed,,0x9345d6,,"Jun 23, 2017",1578.0
14052,(Unwrap),WrappedC…,0x577ebc,,"Apr 13, 2021",1579.0
14053,Bid Withdrawn,0x78b58e,,"125Ξ ($258,775)","Apr 10, 2021",1579.0
14054,Bid,0x78b58e,,"125Ξ ($260,204)","Apr 09, 2021",1579.0
14055,Bid Withdrawn,mindfool…,,0.12Ξ ($222),"Mar 20, 2021",1579.0
14056,Bid,mindfool…,,0.12Ξ ($222),"Mar 20, 2021",1579.0
14057,Bid Withdrawn,0xdc5556,,"25Ξ ($47,641)","Mar 14, 2021",1579.0
14058,Bid,0xdc5556,,"25Ξ ($48,511)","Mar 13, 2021",1579.0
14059,(Wrap),0xd70832,WrappedC…,,"Feb 23, 2021",1579.0
14060,Transfer,0x577ebc,0xd70832,,"Feb 23, 2021",1579.0
14061,Bid Withdrawn,pelvis.e…,,"33Ξ ($60,110)","Feb 14, 2021",1579.0
14062,Bid,pelvis.e…,,"33Ξ ($59,510)","Feb 13, 2021",1579.0
14063,Transfer,0xcbd482,0x577ebc,,"Jan 30, 2021",1579.0
14064,Bid Withdrawn,0x7fbc25,,"12.50Ξ ($16,870)","Jan 24, 2021",1579.0
14065,Bid,0x7fbc25,,"12.50Ξ ($14,526)","Jan 22, 2021",1579.0
14066,Bid Withdrawn,Party,,"9.10Ξ ($12,772)","Jan 19, 2021",1579.0
14067,Bid,Party,,"9.10Ξ ($12,534)","Jan 19, 2021",1579.0
14068,Bid Withdrawn,0xf1b658,,"13Ξ ($17,367)","Jan 19, 2021",1579.0
14069,Bid,0xf1b658,,"13Ξ ($16,149)","Jan 17, 2021",1579.0
14070,Bid,scalynel…,,"12.50Ξ ($15,429)","Jan 17, 2021",1579.0
14071,Bid,0x7fbc25,,"12Ξ ($14,579)","Jan 17, 2021",1579.0
14072,Bid Withdrawn,0x50bf12,,"7Ξ ($8,540)","Jan 17, 2021",1579.0
14073,Bid,0x50bf12,,"7Ξ ($8,446)","Jan 17, 2021",1579.0
14074,Bid,0xaf5e63,,"6Ξ ($7,042)","Jan 17, 2021",1579.0
14075,Bid Withdrawn,0x910b41,,"5.22Ξ ($5,604)","Jan 13, 2021",1579.0
14076,Bid,0x910b41,,"5.22Ξ ($6,686)","Jan 10, 2021",1579.0
14077,Bid Withdrawn,Party,,"5Ξ ($5,937)","Jan 07, 2021",1579.0
14078,Bid,Party,,"5Ξ ($5,984)","Jan 07, 2021",1579.0
14079,Bid,0xcd2c66,,0.70Ξ ($170),"Jun 09, 2020",1579.0
14080,Bid Withdrawn,0x00bd3a,,0.75Ξ ($143),"Jul 11, 2017",1579.0
14081,Bid,0x00bd3a,,0.75Ξ ($184),"Jul 08, 2017",1579.0
14082,Bid,0x6611fe,,0.61Ξ ($162),"Jul 06, 2017",1579.0
14083,Bid,0x8b27de,,0.60Ξ ($160),"Jul 05, 2017",1579.0
14084,Bid Withdrawn,0x00bd3a,,0.50Ξ ($135),"Jul 04, 2017",1579.0
14085,Bid,0x00bd3a,,0.50Ξ ($135),"Jul 04, 2017",1579.0
14086,Claimed,,0xcbd482,,"Jun 23, 2017",1579.0
14087,Sold,0x8234be,Kenney,0.10Ξ ($105),"Jan 16, 2018",1580.0
14088,Offered,,,0.10Ξ ($114),"Jan 11, 2018",1580.0
14089,Offered,,,0.20Ξ ($131),"Dec 12, 2017",1580.0
14090,Claimed,,0x8234be,,"Jun 23, 2017",1580.0
14091,Transfer,0x98c488,0x4bbb41,,"Feb 15, 2021",1581.0
14092,Sold,0x1a96af,0x98c488,0.76Ξ ($153),"May 17, 2020",1581.0
14093,Offered,,,0.76Ξ ($129),"Apr 17, 2020",1581.0
14094,Transfer,0xe45df5,0x1a96af,,"Apr 17, 2020",1581.0
14095,Offered,,,1Ξ ($207),"Jul 13, 2017",1581.0
14096,Sold,0x22160e,0xe45df5,0.38Ξ ($78),"Jul 13, 2017",1581.0
14097,Offered,,,0.38Ξ ($72),"Jul 11, 2017",1581.0
14098,Claimed,,0x22160e,,"Jun 23, 2017",1581.0
14099,Bid Withdrawn,0xd8cb8f,,"24Ξ ($42,858)","Mar 21, 2021",1582.0
14100,Bid,0xd8cb8f,,"24Ξ ($42,640)","Mar 21, 2021",1582.0
14101,Transfer,0xcbd482,0x577ebc,,"Jan 30, 2021",1582.0
14102,Bid Withdrawn,0x4c9692,,"1.23Ξ ($1,501)","Jan 17, 2021",1582.0
14103,Bid,0x4c9692,,"1.23Ξ ($1,479)","Jan 17, 2021",1582.0
14104,Claimed,,0xcbd482,,"Jun 23, 2017",1582.0
14105,Bid,0xc7c6b9,,<0.01Ξ ($<0.01),"Dec 16, 2020",1583.0
14106,Claimed,,0x888104,,"Jun 23, 2017",1583.0
14107,Bid Withdrawn,0x34e801,,1Ξ ($393),"Oct 26, 2020",1584.0
14108,Bid,0x34e801,,1Ξ ($368),"Oct 20, 2020",1584.0
14109,Sold,0x00d7c9,warrbos.…,0.05Ξ ($24),"Jun 15, 2018",1584.0
14110,Offered,,,0.05Ξ ($25),"Jun 12, 2018",1584.0
14111,Claimed,,0x00d7c9,,"Jun 23, 2017",1584.0
14112,Sold,sartoshi…,thepanda…,"25Ξ ($62,354)","Apr 26, 2021",1585.0
14113,Offered,,,"25Ξ ($57,989)","Apr 23, 2021",1585.0
14114,Offered,,,"25Ξ ($57,989)","Apr 23, 2021",1585.0
14115,Offered,,,"24Ξ ($57,294)","Apr 22, 2021",1585.0
14116,Offered,,,"22.50Ξ ($58,968)","Apr 22, 2021",1585.0
14117,Offered,,,"24Ξ ($62,257)","Apr 22, 2021",1585.0
14118,Offered,,,"25Ξ ($61,069)","Apr 21, 2021",1585.0
14119,Offered,,,"26.50Ξ ($64,218)","Apr 21, 2021",1585.0
14120,Offered,,,"28Ξ ($66,311)","Apr 21, 2021",1585.0
14121,Offered,,,"30Ξ ($65,815)","Apr 18, 2021",1585.0
14122,Sold,0x0d82eb,sartoshi…,"23.99Ξ ($52,630)","Apr 18, 2021",1585.0
14123,Offered,,,"23.99Ξ ($60,986)","Apr 16, 2021",1585.0
14124,Sold,0x0503ed,0x0d82eb,"19.99Ξ ($44,566)","Apr 13, 2021",1585.0
14125,Offered,,,"19.99Ξ ($44,477)","Apr 13, 2021",1585.0
14126,(Unwrap),WrappedC…,0x0503ed,,"Apr 13, 2021",1585.0
14127,Sold,0xbae25a,0x0503ed,"19Ξ ($42,275)","Apr 13, 2021",1585.0
14128,(Wrap),0x2f086b,WrappedC…,,"Apr 09, 2021",1585.0
14129,Transfer,0xf4b465,0x2f086b,,"Apr 09, 2021",1585.0
14130,Offer Withdrawn,,,,"Apr 09, 2021",1585.0
14131,Offered,,,"20.50Ξ ($42,211)","Apr 09, 2021",1585.0
14132,Offered,,,"21.50Ξ ($44,633)","Apr 09, 2021",1585.0
14133,Offered,,,"21.90Ξ ($45,391)","Apr 09, 2021",1585.0
14134,Offered,,,"22.50Ξ ($46,662)","Apr 09, 2021",1585.0
14135,Offered,,,"22.95Ξ ($47,998)","Apr 09, 2021",1585.0
14136,(Unwrap),WrappedC…,0xf4b465,,"Apr 09, 2021",1585.0
14137,(Wrap),0xbea00d,WrappedC…,,"Mar 09, 2021",1585.0
14138,Transfer,sexpunks…,0xbea00d,,"Mar 09, 2021",1585.0
14139,Transfer,wookie.e…,sexpunks…,,"Mar 09, 2021",1585.0
14140,Sold,0x84c920,wookie.e…,"15Ξ ($27,364)","Mar 09, 2021",1585.0
14141,Bid,wookie.e…,,"15Ξ ($27,364)","Mar 09, 2021",1585.0
14142,Offered,,,"16Ξ ($29,188)","Mar 09, 2021",1585.0
14143,Offered,,,"17.50Ξ ($31,860)","Mar 09, 2021",1585.0
14144,Bid Withdrawn,wookie.e…,,"16.50Ξ ($30,040)","Mar 09, 2021",1585.0
14145,Offered,,,"17.90Ξ ($32,804)","Mar 09, 2021",1585.0
14146,Bid,wookie.e…,,"16.50Ξ ($30,239)","Mar 09, 2021",1585.0
14147,Bid,0xe281b9,,"16Ξ ($29,138)","Mar 09, 2021",1585.0
14148,Offered,,,"18Ξ ($32,799)","Mar 09, 2021",1585.0
14149,Offered,,,"18.20Ξ ($33,163)","Mar 09, 2021",1585.0
14150,Offered,,,"19.90Ξ ($34,519)","Mar 08, 2021",1585.0
14151,Offered,,,"20.40Ξ ($34,926)","Mar 08, 2021",1585.0
14152,Sold,🐱‍🏍.et…,0x84c920,"18Ξ ($29,902)","Mar 07, 2021",1585.0
14153,Bid,0x302218,,"10Ξ ($16,821)","Mar 07, 2021",1585.0
14154,Bid Withdrawn,sexpunks…,,"14Ξ ($23,136)","Mar 07, 2021",1585.0
14155,Bid,sexpunks…,,"14Ξ ($23,136)","Mar 07, 2021",1585.0
14156,Offered,,,"18Ξ ($29,784)","Mar 07, 2021",1585.0
14157,Offered,,,"18.50Ξ ($30,900)","Mar 06, 2021",1585.0
14158,Offered,,,"19Ξ ($30,594)","Mar 06, 2021",1585.0
14159,Offered,,,"20.50Ξ ($31,324)","Mar 06, 2021",1585.0
14160,Sold,0xfed697,🐱‍🏍.et…,"18Ξ ($27,841)","Mar 06, 2021",1585.0
14161,Bid,0xd5d9b7,,"1.10Ξ ($1,701)","Mar 06, 2021",1585.0
14162,Offered,,,"18Ξ ($27,610)","Mar 05, 2021",1585.0
14163,Bid,0xc7c6b9,,<0.01Ξ ($<0.01),"Dec 16, 2020",1585.0
14164,Sold,0x470e9b,0xfed697,0.12Ξ ($28),"Sep 27, 2018",1585.0
14165,Offered,,,0.12Ξ ($86),"Dec 28, 2017",1585.0
14166,Offered,,,0.21Ξ ($81),"Aug 30, 2017",1585.0
14167,Offered,,,0.75Ξ ($146),"Jul 19, 2017",1585.0
14168,Claimed,,0x470e9b,,"Jun 23, 2017",1585.0
14169,Sold,0x4bc412,0xc991fd,"26Ξ ($47,635)","Mar 29, 2021",1586.0
14170,Bid,0xc991fd,,"26Ξ ($47,635)","Mar 29, 2021",1586.0
14171,Offered,,,"29Ξ ($51,884)","Mar 11, 2021",1586.0
14172,Offered,,,"39Ξ ($69,776)","Mar 11, 2021",1586.0
14173,Offered,,,"30Ξ ($53,674)","Mar 11, 2021",1586.0
14174,Bid,0xb5b84e,,"25Ξ ($45,320)","Mar 11, 2021",1586.0
14175,Bid Withdrawn,0x20f9dd,,"16Ξ ($29,270)","Mar 09, 2021",1586.0
14176,Offered,,,"37Ξ ($58,557)","Mar 04, 2021",1586.0
14177,Sold,0x5a6dfb,0x4bc412,"23.99Ξ ($35,438)","Feb 26, 2021",1586.0
14178,Bid,0x20f9dd,,"16Ξ ($23,459)","Feb 26, 2021",1586.0
14179,Bid,0xc44538,,"5Ξ ($8,066)","Feb 25, 2021",1586.0
14180,Offered,,,"23.99Ξ ($38,357)","Feb 25, 2021",1586.0
14181,Bid Withdrawn,Sylveste…,,"3.50Ξ ($2,179)","Dec 26, 2020",1586.0
14182,Sold,0x641cf1,0x5a6dfb,"4.80Ξ ($2,937)","Dec 25, 2020",1586.0
14183,Bid,Sylveste…,,"3.50Ξ ($2,164)","Dec 25, 2020",1586.0
14184,Bid,0xcb28f9,,"3Ξ ($1,883)","Dec 25, 2020",1586.0
14185,Offered,,,"4.80Ξ ($2,990)","Dec 22, 2020",1586.0
14186,(Unwrap),WrappedC…,0x641cf1,,"Dec 22, 2020",1586.0
14187,(Wrap),0xa44777,WrappedC…,,"Dec 22, 2020",1586.0
14188,Transfer,0x641cf1,0xa44777,,"Dec 22, 2020",1586.0
14189,Sold,Slider92,0x641cf1,"3.40Ξ ($2,121)","Dec 22, 2020",1586.0
14190,Offered,,,"3.40Ξ ($2,079)","Dec 22, 2020",1586.0
14191,(Unwrap),WrappedC…,Slider92,,"Dec 22, 2020",1586.0
14192,(Wrap),0xb0ff2d,WrappedC…,,"Dec 08, 2020",1586.0
14193,Transfer,Slider92,0xb0ff2d,,"Dec 08, 2020",1586.0
14194,Offered,,,"3.50Ξ ($2,020)","Dec 08, 2020",1586.0
14195,Offered,,,"3.99Ξ ($2,414)","Dec 01, 2020",1586.0
14196,Bid Withdrawn,Michel_M…,,"2Ξ ($1,159)","Nov 30, 2020",1586.0
14197,Sold,0x8a648e,Slider92,"2.60Ξ ($1,507)","Nov 30, 2020",1586.0
14198,Bid,Michel_M…,,"2Ξ ($1,159)","Nov 30, 2020",1586.0
14199,Offered,,,"2.60Ξ ($1,500)","Nov 30, 2020",1586.0
14200,Sold,0x8234be,0x8a648e,0.09Ξ ($112),"Jan 10, 2018",1586.0
14201,Offered,,,0.09Ξ ($102),"Jan 08, 2018",1586.0
14202,Offered,,,0.15Ξ ($99),"Dec 22, 2017",1586.0
14203,Offered,,,0.30Ξ ($154),"Dec 11, 2017",1586.0
14204,Claimed,,0x8234be,,"Jun 23, 2017",1586.0
14205,Sold,0x4c9692,tonyherr…,"30Ξ ($122,076)","May 12, 2021",1587.0
14206,Offered,,,"30Ξ ($127,797)","May 12, 2021",1587.0
14207,Offered,,,"42Ξ ($175,439)","May 12, 2021",1587.0
14208,Offered,,,"45Ξ ($164,415)","May 08, 2021",1587.0
14209,Bid Withdrawn,thebinoc…,,"37Ξ ($125,921)","May 07, 2021",1587.0
14210,Bid,thebinoc…,,"37Ξ ($130,926)","May 06, 2021",1587.0
14211,Offered,,,"51Ξ ($180,465)","May 06, 2021",1587.0
14212,Offer Withdrawn,,,,"May 06, 2021",1587.0
14213,Bid Withdrawn,thebinoc…,,"37Ξ ($121,677)","May 04, 2021",1587.0
14214,Bid,thebinoc…,,"37Ξ ($124,930)","May 04, 2021",1587.0
14215,Offered,,,"42Ξ ($139,120)","May 03, 2021",1587.0
14216,Offer Withdrawn,,,,"May 03, 2021",1587.0
14217,Offered,,,"43.50Ξ ($127,133)","May 01, 2021",1587.0
14218,Bid Withdrawn,0x64d49a,,"41Ξ ($113,281)","Apr 29, 2021",1587.0
14219,Bid,0x64d49a,,"41Ξ ($111,450)","Apr 29, 2021",1587.0
14220,Offered,,,"49Ξ ($128,562)","Apr 28, 2021",1587.0
14221,Offered,,,"75Ξ ($185,234)","Apr 15, 2021",1587.0
14222,Offer Withdrawn,,,,"Apr 08, 2021",1587.0
14223,Bid Withdrawn,0x5cda7e,,"31.50Ξ ($62,549)","Apr 07, 2021",1587.0
14224,Offered,,,"48Ξ ($98,179)","Apr 07, 2021",1587.0
14225,Bid,0x5cda7e,,"31.50Ξ ($66,819)","Apr 07, 2021",1587.0
14226,Offered,,,"36Ξ ($76,717)","Apr 06, 2021",1587.0
14227,Offer Withdrawn,,,,"Apr 02, 2021",1587.0
14228,Offered,,,"39Ξ ($81,831)","Apr 02, 2021",1587.0
14229,Offer Withdrawn,,,,"Apr 01, 2021",1587.0
14230,Offered,,,"42Ξ ($79,048)","Mar 31, 2021",1587.0
14231,Offered,,,"54Ξ ($100,070)","Mar 30, 2021",1587.0
14232,Offered,,,"45Ξ ($82,481)","Mar 30, 2021",1587.0
14233,Offered,,,"42Ξ ($76,917)","Mar 30, 2021",1587.0
14234,Offered,,,"60Ξ ($97,303)","Mar 26, 2021",1587.0
14235,Offered,,,"48Ξ ($85,999)","Mar 17, 2021",1587.0
14236,Offer Withdrawn,,,,"Feb 28, 2021",1587.0
14237,Offered,,,"48Ξ ($66,841)","Feb 28, 2021",1587.0
14238,Offer Withdrawn,,,,"Feb 26, 2021",1587.0
14239,Offered,,,"75Ξ ($146,536)","Feb 21, 2021",1587.0
14240,Sold,0x577ebc,0x4c9692,"24Ξ ($45,539)","Feb 18, 2021",1587.0
14241,Bid,0x4c9692,,"24Ξ ($44,163)","Feb 17, 2021",1587.0
14242,Transfer,0xcbd482,0x577ebc,,"Jan 30, 2021",1587.0
14243,Bid Withdrawn,0x0cf8e9,,0.50Ξ ($626),"Jan 18, 2021",1587.0
14244,Bid,0x0cf8e9,,0.50Ξ ($617),"Jan 17, 2021",1587.0
14245,Claimed,,0xcbd482,,"Jun 23, 2017",1587.0
14246,Sold,0xc8d9a5,0x7f3aff,"22.50Ξ ($93,832)","May 12, 2021",1588.0
14247,Offered,,,"22.50Ξ ($92,927)","May 11, 2021",1588.0
14248,Offered,,,"23.25Ξ ($97,106)","May 10, 2021",1588.0
14249,Offered,,,"24.25Ξ ($101,130)","May 10, 2021",1588.0
14250,Offered,,,"26.75Ξ ($108,894)","May 10, 2021",1588.0
14251,Offer Withdrawn,,,,"Apr 24, 2021",1588.0
14252,Offered,,,"26.50Ξ ($68,646)","Apr 22, 2021",1588.0
14253,Offered,,,"29.75Ξ ($71,809)","Apr 16, 2021",1588.0
14254,Offered,,,"26.99Ξ ($65,147)","Apr 16, 2021",1588.0
14255,Offered,,,"32.99Ξ ($68,302)","Apr 09, 2021",1588.0
14256,Offer Withdrawn,,,,"Mar 23, 2021",1588.0
14257,Offered,,,"27.49Ξ ($47,043)","Mar 23, 2021",1588.0
14258,Offered,,,"27.99Ξ ($49,850)","Mar 22, 2021",1588.0
14259,Offered,,,"30.50Ξ ($54,288)","Mar 22, 2021",1588.0
14260,Sold,0xddfdcb,0xc8d9a5,"25.99Ξ ($46,881)","Mar 21, 2021",1588.0
14261,Offered,,,"25.99Ξ ($48,132)","Mar 20, 2021",1588.0
14262,Bid Withdrawn,0x8ee483,,"22Ξ ($40,013)","Mar 19, 2021",1588.0
14263,Bid,0x8ee483,,"22Ξ ($40,143)","Mar 19, 2021",1588.0
14264,Offered,,,"27.49Ξ ($50,160)","Mar 19, 2021",1588.0
14265,Offered,,,"29.49Ξ ($53,136)","Mar 18, 2021",1588.0
14266,Offered,,,"30.99Ξ ($54,890)","Mar 17, 2021",1588.0
14267,Bid Withdrawn,0x34993e,,"23Ξ ($40,811)","Mar 12, 2021",1588.0
14268,Offered,,,"33.99Ξ ($61,461)","Mar 12, 2021",1588.0
14269,Sold,0x577ebc,0xddfdcb,"26.99Ξ ($48,804)","Mar 12, 2021",1588.0
14270,Bid,0x34993e,,"23Ξ ($41,568)","Mar 12, 2021",1588.0
14271,Offered,,,"26.99Ξ ($48,936)","Mar 12, 2021",1588.0
14272,Transfer,0xcbd482,0x577ebc,,"Jan 30, 2021",1588.0
14273,Claimed,,0xcbd482,,"Jun 23, 2017",1588.0
14274,Sold,0x3fcac5,0x584cdf,"24Ξ ($49,533)","Apr 08, 2021",1589.0
14275,Offered,,,"24Ξ ($49,594)","Apr 04, 2021",1589.0
14276,Bid Withdrawn,0x5fd36a,,"22Ξ ($38,405)","Mar 12, 2021",1589.0
14277,Bid,0x5fd36a,,"22Ξ ($38,855)","Mar 12, 2021",1589.0
14278,Offered,,,"32Ξ ($48,980)","Mar 05, 2021",1589.0
14279,Bid Withdrawn,alphab.e…,,"14.50Ξ ($28,868)","Feb 20, 2021",1589.0
14280,Sold,0xec959f,0x3fcac5,"14.90Ξ ($29,664)","Feb 20, 2021",1589.0
14281,Bid,alphab.e…,,"14.50Ξ ($28,867)","Feb 20, 2021",1589.0
14282,Offered,,,"14.90Ξ ($29,869)","Feb 20, 2021",1589.0
14283,Sold,0x13816f,0xec959f,"7.25Ξ ($13,091)","Feb 13, 2021",1589.0
14284,Bid Withdrawn,0x72c783,,"6Ξ ($9,762)","Feb 07, 2021",1589.0
14285,Offered,,,"7.25Ξ ($12,186)","Feb 06, 2021",1589.0
14286,Bid,0x72c783,,"6Ξ ($10,094)","Feb 06, 2021",1589.0
14287,Offered,,,"7.75Ξ ($10,336)","Feb 01, 2021",1589.0
14288,(Unwrap),WrappedC…,0x13816f,,"Jan 30, 2021",1589.0
14289,Sold,NeonNFT,0x13816f,"4.75Ξ ($1,630)","Oct 02, 2020",1589.0
14290,(Wrap),0x5b47e9,WrappedC…,,"Oct 02, 2020",1589.0
14291,Transfer,KittyGr_…,0x5b47e9,,"Oct 02, 2020",1589.0
14292,Sold,Hemba,KittyGr_…,0.08Ξ ($45),"Jun 08, 2018",1589.0
14293,Offered,,,0.08Ξ ($61),"May 05, 2018",1589.0
14294,Offered,,,0.75Ξ ($612),"May 05, 2018",1589.0
14295,Offered,,,0.15Ξ ($105),"Dec 23, 2017",1589.0
14296,Offered,,,0.16Ξ ($130),"Dec 19, 2017",1589.0
14297,Offered,,,0.41Ξ ($157),"Aug 30, 2017",1589.0
14298,Claimed,,Hemba,,"Jun 23, 2017",1589.0
14299,Sold,Shrugs,district…,2Ξ ($733),"Sep 11, 2020",1590.0
14300,Offered,,,2Ξ ($487),"Jun 08, 2020",1590.0
14301,Offered,,,3Ξ ($620),"May 27, 2020",1590.0
14302,Bid Withdrawn,CPyrc,,1.40Ξ ($285),"May 26, 2020",1590.0
14303,Bid,CPyrc,,1.40Ξ ($289),"May 24, 2020",1590.0
14304,Bid,TweetyPi…,,1Ξ ($206),"May 24, 2020",1590.0
14305,Sold,0x00d7c9,Shrugs,0.10Ξ ($136),"Jan 14, 2018",1590.0
14306,Offered,,,0.10Ξ ($126),"Jan 12, 2018",1590.0
14307,Claimed,,0x00d7c9,,"Jun 23, 2017",1590.0
14308,Transfer,0xcbd482,0x577ebc,,"Jan 30, 2021",1591.0
14309,Bid Withdrawn,0xf1b658,,"6Ξ ($7,513)","Jan 22, 2021",1591.0
14310,Bid,0xf1b658,,"6Ξ ($7,407)","Jan 17, 2021",1591.0
14311,Bid,0xa7eba7,,"5Ξ ($6,013)","Jan 17, 2021",1591.0
14312,Bid,DANNY,,"4Ξ ($4,826)","Jan 17, 2021",1591.0
14313,Claimed,,0xcbd482,,"Jun 23, 2017",1591.0
14314,Sold,0x1919db,0x0c9afd,"21.75Ξ ($46,497)","Jul 11, 2021",1592.0
14315,Offered,,,"21.75Ξ ($47,015)","Jul 09, 2021",1592.0
14316,Offered,,,"21.50Ξ ($50,607)","Jul 07, 2021",1592.0
14317,Sold,0x83e799,0x1919db,"19Ξ ($44,723)","Jul 07, 2021",1592.0
14318,Offered,,,"19Ξ ($44,723)","Jul 07, 2021",1592.0
14319,Sold,0x1d337f,0x83e799,"19.90Ξ ($33,884)","Mar 27, 2021",1592.0
14320,Offered,,,"19.90Ξ ($33,403)","Mar 27, 2021",1592.0
14321,Offered,,,"22.70Ξ ($38,909)","Mar 24, 2021",1592.0
14322,Offered,,,"27.45Ξ ($50,096)","Mar 18, 2021",1592.0
14323,Transfer,0xb166dd,0x1d337f,,"Feb 24, 2021",1592.0
14324,Sold,0x5b098b,0xb166dd,"5.64Ξ ($9,128)","Feb 04, 2021",1592.0
14325,Offered,,,"5.64Ξ ($9,508)","Feb 04, 2021",1592.0
14326,Sold,0x515a82,0x5b098b,0.08Ξ ($23),"Jun 29, 2017",1592.0
14327,Offered,,,0.08Ξ ($23),"Jun 29, 2017",1592.0
14328,Claimed,,0x515a82,,"Jun 23, 2017",1592.0
14329,Transfer,0xcbd482,0x577ebc,,"Jan 30, 2021",1593.0
14330,Bid Withdrawn,MBK,,0.50Ξ ($601),"Jan 18, 2021",1593.0
14331,Bid,MBK,,0.50Ξ ($617),"Jan 17, 2021",1593.0
14332,Claimed,,0xcbd482,,"Jun 23, 2017",1593.0
14333,Sold,0x48db19,0xa6e1ea,"6Ξ ($9,598)","Feb 07, 2021",1594.0
14334,Offered,,,"6Ξ ($2,210)","Oct 01, 2020",1594.0
14335,Transfer,0xbfe1f8,0x48db19,,"Oct 01, 2020",1594.0
14336,Claimed,,0xbfe1f8,,"Jun 23, 2017",1594.0
14337,Offered,,,"28.99Ξ ($57,372)","Jul 18, 2021",1595.0
14338,Offered,,,"32.99Ξ ($130,744)","May 11, 2021",1595.0
14339,Offered,,,"32.99Ξ ($136,108)","May 10, 2021",1595.0
