id,type_id,rarity,skin_id,total_traits,total_hidden_traits
587,5,5418,6,2,0
588,4,7597,6,2,0
589,5,3280,5,5,1
590,5,9152,7,4,0
591,5,2602,5,2,0
592,4,7209,6,3,0
593,4,3226,5,3,0
594,5,236,7,3,0
595,4,8848,6,2,0
596,4,8609,5,2,0
597,5,1917,7,3,1
598,5,1086,5,2,0
599,5,1232,4,3,1
600,4,9148,7,2,0
601,5,8813,6,2,0
602,5,8502,5,3,0
603,5,8823,6,2,0
604,5,1690,4,3,0
605,5,9577,7,2,0
606,4,2439,7,5,0
607,5,8363,6,3,0
608,4,8448,7,3,0
609,4,6546,6,2,0
610,4,6326,6,2,0
611,4,4758,7,3,0
612,5,8030,7,1,0
613,4,7951,4,3,0
614,4,6230,6,2,0
615,5,8032,4,1,0
616,4,8304,7,2,0
617,5,1635,6,3,0
618,4,4879,5,3,0
619,5,8420,5,2,0
620,4,6055,7,4,0
621,5,2826,7,2,0
622,4,3302,7,5,1
623,4,1858,5,4,0
624,4,3750,7,4,1
625,4,8757,5,3,0
626,4,6883,7,4,0
627,4,1477,7,2,0
628,4,4933,4,1,0
629,5,5430,4,4,0
630,4,4511,7,1,0
631,4,5580,7,2,0
632,5,8650,7,3,0
633,4,7672,7,2,0
634,4,940,7,4,0
635,4,9407,6,2,0
636,1,18,1,2,0
637,4,6215,7,3,0
638,5,2667,7,2,0
639,4,763,7,4,0
640,4,7787,5,3,0
641,4,7860,6,2,0
642,5,6,6,0,0
643,5,742,7,2,0
644,4,4263,7,3,0
645,4,9327,4,2,0
646,4,7253,6,4,0
647,5,5760,5,4,0
648,5,8110,4,1,0
649,4,1809,6,3,0
650,4,6572,7,4,0
651,4,1869,5,2,0
652,4,7424,6,1,0
653,4,5845,5,3,0
654,5,1534,7,2,0
655,5,1279,6,3,1
656,4,6221,6,2,0
657,4,4350,6,3,0
658,4,6603,7,4,0
659,5,9248,4,2,0
660,5,3372,4,3,0
661,5,5411,5,4,1
662,4,7296,5,2,0
663,4,3204,4,2,0
664,4,8081,5,1,0
665,5,3701,6,2,0
666,4,2519,7,3,0
667,5,9710,6,2,0
